generated_packets,delivered_packets,pdr,alive_nodes,residual_energy_mean,residual_energy_std,control_packets,retransmissions,seed,method,round,selected_next_hop_risk,latency_sec,cluster_risk
100,38,0.38,100,1.9991378254710523,0.0026614790065034996,80,14,0,LEACH,1,0.16269266727257892,0.009012282000071536,0.0
100,54,0.54,100,1.9972592600668277,0.006120660776485886,5,27,0,LEACH,2,0.1647913629169501,0.011622797999962131,0.0013313134141783119
100,53,0.53,100,1.9957623699239349,0.009679351732460557,5,17,0,LEACH,3,0.16046121504055935,0.007952079000006052,0.003064529924949268
100,47,0.47,100,1.9945791075063741,0.013238195089066733,5,16,0,LEACH,4,0.16420052770348895,0.008937065000054645,0.004849952012638441
100,47,0.47,100,1.9934303977123082,0.01688821189460552,5,17,0,LEACH,5,0.16428508705525285,0.008708716999990429,0.0066370870054599995
100,61,0.61,100,1.9915979901104575,0.02079529779995583,5,19,0,LEACH,6,0.16517777609681977,0.007548266999947373,0.008471934559161346
100,72,0.72,100,1.9894688361882493,0.025045131677857217,5,15,0,LEACH,7,0.16856890551427242,0.011036498999942523,0.01044151374039068
100,59,0.59,100,1.9877544133126528,0.028266067871031454,5,21,0,LEACH,8,0.1759473718303025,0.006683466999902521,0.012588853465362685
100,59,0.59,100,1.985779678514616,0.03228728186898515,5,26,0,LEACH,9,0.17010703253020462,0.007196915999998055,0.014220100658956656
100,65,0.65,100,1.984013072490102,0.03636114359253077,5,15,0,LEACH,10,0.1728744175656675,0.006281623000063519,0.016259246776368405
100,46,0.46,100,1.9828562137828036,0.03889796804907652,5,13,0,LEACH,11,0.17745638824895862,0.006837095000037152,0.018327068536015425
100,43,0.43,100,1.982059759886034,0.04134166038727644,5,8,0,LEACH,12,0.17936667330801598,0.008348009999963324,0.019617140032375042
100,41,0.41,100,1.9813119766227119,0.04359733215920867,5,8,0,LEACH,13,0.17769874898532503,0.006257250000089698,0.02085792829371486
100,39,0.39,100,1.980541300217692,0.04597633771807214,5,13,0,LEACH,14,0.177600522619478,0.007225662999985616,0.022004274253424185
100,62,0.62,100,1.978599063754277,0.05014531081020025,5,21,0,LEACH,15,0.181822552614,0.0063081220000640315,0.023214026219291962
100,56,0.56,100,1.9772089656804475,0.05280502551020737,5,16,0,LEACH,16,0.17879094224553213,0.006475948000002063,0.025343846400273103
100,64,0.64,100,1.9754220884468177,0.057016938398209885,5,14,0,LEACH,17,0.1867486707883215,0.006298379999975623,0.026706851108487188
100,63,0.63,100,1.9734258809725613,0.06122299924900638,5,21,0,LEACH,18,0.1846206323486814,0.006806930000038847,0.028863167357470076
100,50,0.5,100,1.971748782440936,0.06431487568434072,5,23,0,LEACH,19,0.18372207559568057,0.00799776799999563,0.03102371352137456
100,55,0.55,100,1.9704571981371297,0.0673147648610836,5,9,0,LEACH,20,0.18456581436938538,0.006727854000018851,0.03261818959486584
100,58,0.58,100,1.968799899950241,0.07119110831811355,5,21,0,LEACH,21,0.1902709314506433,0.006533269999977165,0.03416200303990312
100,20,0.2,100,1.9685095894080116,0.07132288288810625,5,9,0,LEACH,22,0.1893891714042366,0.006573739000032219,0.03615964641586661
100,44,0.44,100,1.9673746934491507,0.07472844225027711,5,15,0,LEACH,23,0.19360417586353681,0.006948951000026682,0.036231920433311825
100,45,0.45,100,1.966210243805777,0.07728108336086996,5,16,0,LEACH,24,0.18929928108664199,0.006686350999984825,0.03798383827093834
100,38,0.38,100,1.9654632075502005,0.07951902121171542,5,12,0,LEACH,25,0.1933741988961279,0.00665430899994135,0.03930458786171121
100,62,0.62,100,1.9637025832075228,0.0836825480818589,5,18,0,LEACH,26,0.19956578457847468,0.006409643000097276,0.04045815806947283
100,45,0.45,100,1.9624777647571547,0.08709559494507452,5,20,0,LEACH,27,0.19281210971549786,0.008319040999936078,0.04261467531398875
100,40,0.4,100,1.9616192750843522,0.08955142021193509,5,13,0,LEACH,28,0.20351574633326247,0.006210017000057633,0.04438042377875871
100,68,0.68,100,1.9594719847930357,0.09378237406900801,5,20,0,LEACH,29,0.20232935379568479,0.00657193000006373,0.04565178434881595
100,49,0.49,100,1.9583290350401397,0.09728174682306488,5,13,0,LEACH,30,0.20642341887957097,0.006888021000008848,0.04786104353678292
100,52,0.52,100,1.9567935515007262,0.1008987405195305,5,18,0,LEACH,31,0.19854089187431914,0.007776530000001003,0.04967589459333075
100,76,0.76,100,1.9545468452733994,0.10531041249529834,5,17,0,LEACH,32,0.20237296342011693,0.006530878999910783,0.05156330382375877
100,65,0.65,100,1.9527042430076507,0.1084322354647587,5,13,0,LEACH,33,0.20173698442469112,0.0070363240000688165,0.05387970753538437
100,46,0.46,100,1.9514847844817103,0.11193204288730169,5,21,0,LEACH,34,0.20596355836559316,0.007249688999991122,0.055529267036715985
100,48,0.48,100,1.950375591676674,0.11433641604845086,5,10,0,LEACH,35,0.2071037183704081,0.007281134999971073,0.05735737406854273
100,50,0.5,100,1.949226833743766,0.11780848363678213,5,9,0,LEACH,36,0.21040482221820647,0.007253904999970473,0.05862276805510781
100,62,0.62,100,1.9471189834495237,0.12206145153378248,5,26,0,LEACH,37,0.21237225292782042,0.007541518000039105,0.06043857055345228
100,59,0.59,100,1.9456166585116466,0.12573544454580268,5,11,0,LEACH,38,0.21119308199611708,0.006759695000027932,0.06268823448691434
100,47,0.47,100,1.9448140845832527,0.1282139584064438,5,4,0,LEACH,39,0.2156771123043541,0.010233949999928882,0.06462498348093788
100,46,0.46,100,1.9433782907426833,0.13118818662750506,5,23,0,LEACH,40,0.21922151449021077,0.008109229999945455,0.06592607452350191
100,51,0.51,100,1.9418119384760386,0.13424062311954263,5,27,0,LEACH,41,0.21678859877305076,0.007107944000040334,0.06750522382462121
100,47,0.47,100,1.9406707295184829,0.13771346130965387,5,14,0,LEACH,42,0.21792542059176356,0.008656315000052928,0.06913162923832537
100,47,0.47,100,1.9394469173044302,0.14154571639008082,5,17,0,LEACH,43,0.22008050257559095,0.007379117000027691,0.07096178608408218
100,45,0.45,100,1.9382714666422884,0.14505214094299188,5,15,0,LEACH,44,0.21751789015398537,0.007384560999980749,0.0729825162943079
100,43,0.43,100,1.9371625060669801,0.1486029788922164,5,20,0,LEACH,45,0.23113201848566525,0.006643280000048435,0.07483582320106963
100,52,0.52,100,1.9353901553682624,0.15269118211026256,5,27,0,LEACH,46,0.2258542009530075,0.007001396999953613,0.07671167404561303
100,29,0.29,100,1.9350848720117193,0.15284332145322801,5,0,0,LEACH,47,0.22439414458003223,0.0074119920000157435,0.07889426404745778
100,53,0.53,100,1.933495679573318,0.15672152412273274,5,20,0,LEACH,48,0.22133144184287384,0.006339754000009634,0.07898533211949564
100,54,0.54,100,1.9317358437984862,0.16075013696919407,5,24,0,LEACH,49,0.23080538498631087,0.006281629000000066,0.08105605076666414
100,50,0.5,100,1.9299545248368313,0.16384188016247664,5,28,0,LEACH,50,0.2334576202313696,0.006689053000059175,0.08321538233026253
100,40,0.4,100,1.999228972421076,0.0013051658820961195,55,6,0,HEED,1,0.15591801234162994,0.006502646999933859,0.0
100,42,0.42,100,1.9981349258528371,0.0029441931317672047,7,13,0,HEED,2,0.15659538827489874,0.005574567000053321,0.0006528346171423717
100,53,0.53,100,1.996713726692556,0.0050503996515440745,7,7,0,HEED,3,0.15624940594302583,0.006782186999998885,0.001473470630399813
100,58,0.58,100,1.9949302507029156,0.007339420239902379,7,14,0,HEED,4,0.15566632024471783,0.006590764000065974,0.0025293559006333197
100,40,0.4,100,1.9942470293327736,0.00796706777772504,7,5,0,HEED,5,0.1560891206238747,0.006011927000031392,0.003679036011388496
100,61,0.61,100,1.9926023861992106,0.010381903481006762,7,7,0,HEED,6,0.1585991107975378,0.0072229170000355225,0.003995025517175059
100,54,0.54,100,1.9911232578706333,0.01196630350961723,7,9,0,HEED,7,0.15917335054306173,0.006429383999943639,0.005210223345355557
100,49,0.49,100,1.9898728421892826,0.013309918804723615,7,8,0,HEED,8,0.15871551551591997,0.006420801999979631,0.006009825584778062
100,39,0.39,100,1.9892077376671364,0.013976697879457293,7,6,0,HEED,9,0.15698658238704263,0.006759740000006786,0.006688828808127368
100,37,0.37,100,1.9886471237990078,0.014556075428617083,7,3,0,HEED,10,0.15810644082917813,0.006758373000025131,0.007026263572549783
100,49,0.49,100,1.987425868377104,0.01649887449800243,7,9,0,HEED,11,0.16030342143993986,0.006403674000011961,0.007319586888884913
100,38,0.38,100,1.9867501501145042,0.017621478072816762,7,4,0,HEED,12,0.15790135621298945,0.006749161000016102,0.008301630135705063
100,42,0.42,100,1.9858047980869984,0.018691493510122458,7,9,0,HEED,13,0.15904032538094764,0.005981893000011951,0.008869498791311112
100,38,0.38,100,1.9849850960044266,0.019852865430824717,7,10,0,HEED,14,0.15831656488250423,0.006452081000020371,0.009412553292903502
100,47,0.47,100,1.9836470770624683,0.021565900988320945,7,16,0,HEED,15,0.1589892322870217,0.00647632799996245,0.010001518626403534
100,45,0.45,100,1.9827417908792424,0.022717212407606473,7,6,0,HEED,16,0.16078784708556995,0.0063660839999784,0.010871843694349926
100,48,0.48,100,1.9813023445452376,0.024148970573514537,7,16,0,HEED,17,0.15965684187956475,0.006067921000067145,0.011457473932910663
100,42,0.42,100,1.9805175039028682,0.025068019504172787,7,6,0,HEED,18,0.16366986112021006,0.006553599000085342,0.012188432833395003
100,27,0.27,100,1.9801230730223462,0.025602207061194513,7,7,0,HEED,19,0.1598140271379135,0.00639318900005037,0.01265730771349325
100,54,0.54,100,1.9786289211947006,0.027356331916438447,7,8,0,HEED,20,0.16186078007664573,0.007174355999950421,0.012929603914092858
100,32,0.32,100,1.9780967947644612,0.027961481762625195,7,8,0,HEED,21,0.15908533787025397,0.006002297999998518,0.013825903177574513
100,44,0.44,100,1.9770699032426788,0.02903250204613095,7,8,0,HEED,22,0.16158601327524358,0.006432148999920173,0.014135547769129049
100,36,0.36,100,1.9765866662845881,0.029743308360938074,7,1,0,HEED,23,0.16220874738693206,0.006089373999998315,0.014684610781411549
100,31,0.31,100,1.9761572971317887,0.030231223450472636,7,4,0,HEED,24,0.15986988997711019,0.0061349260000724826,0.015047813909800006
100,44,0.44,100,1.9752445740585844,0.03148054610019396,7,7,0,HEED,25,0.16186420006394533,0.00677430199993978,0.015297984357699926
100,34,0.34,100,1.97474513689835,0.03207633956622954,7,4,0,HEED,26,0.1609638602575284,0.00834705500005839,0.015937543371469697
100,37,0.37,100,1.974174645827806,0.032730228114107834,7,4,0,HEED,27,0.1622666187281752,0.006956291999927089,0.01624328068184229
100,30,0.3,100,1.9737948727141044,0.033226054358494704,7,5,0,HEED,28,0.1623247151871404,0.006863784000074702,0.016579195842739175
100,39,0.39,100,1.9730532069875841,0.03415961707745333,7,3,0,HEED,29,0.16252403910218682,0.007167410999954882,0.016833590351331394
100,33,0.33,100,1.9724274445191656,0.035027979134637496,7,9,0,HEED,30,0.16246968945324464,0.007350604000066596,0.017313074438059056
100,36,0.36,100,1.9716110823376058,0.03560241339357774,7,10,0,HEED,31,0.16279791197039892,0.006250948999991124,0.01775881754051486
100,29,0.29,100,1.9711743190636444,0.0362291972826785,7,6,0,HEED,32,0.16353629877889517,0.006771049000008134,0.01805752345196362
100,44,0.44,100,1.9700424400670722,0.0376917982873889,7,11,0,HEED,33,0.16456621621753872,0.011084267000001091,0.018379499415926467
100,32,0.32,100,1.9696689331625348,0.03817958048633632,7,2,0,HEED,34,0.1620336219621024,0.008349090000024262,0.019132480337753884
100,22,0.22,100,1.9693484623418025,0.03851380549866368,7,10,0,HEED,35,0.16143475970230414,0.007567200999915258,0.019383755211220707
100,34,0.34,100,1.9688740847196207,0.039087611315540595,7,4,0,HEED,36,0.16251997136568977,0.007420711999998275,0.019556623013152627
100,32,0.32,100,1.9683353358215512,0.03960146668721539,7,7,0,HEED,37,0.16435936882366517,0.0076851610000403525,0.019852773511111227
100,28,0.28,100,1.9680300974257383,0.03994495165477795,7,3,0,HEED,38,0.16305961499155827,0.006809771999996883,0.020119268259972505
100,30,0.3,100,1.967566305462376,0.040371765359546945,7,7,0,HEED,39,0.16381936270640743,0.010553254000001289,0.02029692110218929
100,31,0.31,100,1.9671259544504633,0.04082629623149937,7,5,0,HEED,40,0.16350608289426238,0.009114983000017673,0.02051863015057191
100,32,0.32,100,1.9666786244914891,0.041438549921014894,7,4,0,HEED,41,0.1637852100606926,0.008030590000089433,0.020754286779463515
100,27,0.27,100,1.9663225163132827,0.041793364101241126,7,6,0,HEED,42,0.16318504235078457,0.007160504000012224,0.021070320978135784
100,29,0.29,100,1.9659724890554608,0.04229165647644658,7,3,0,HEED,43,0.1631045528868635,0.00858392299994648,0.021254582456336612
100,31,0.31,100,1.9655932531897573,0.04277127761383607,7,4,0,HEED,44,0.1641285252351624,0.010653550999904837,0.021511825149568443
100,37,0.37,100,1.9650730564461865,0.04329435602898182,7,2,0,HEED,45,0.1640697083621256,0.006360564000033264,0.021759983913715124
100,31,0.31,100,1.9646109674555639,0.043905632931237816,7,7,0,HEED,46,0.1626407285211935,0.006274841999925229,0.022031932015400657
100,41,0.41,100,1.963567042607089,0.04491651868074637,7,11,0,HEED,47,0.16506986302629417,0.005783779000012146,0.02234825805915408
100,31,0.31,100,1.9632117028208886,0.045325126456406975,7,2,0,HEED,48,0.162203007253314,0.006387854000081461,0.02287496054902174
100,32,0.32,100,1.9626661369693892,0.0458072438181066,7,5,0,HEED,49,0.1639432387630898,0.006605218000004243,0.02308723320317722
100,30,0.3,100,1.9623689719056006,0.04617084296673542,7,1,0,HEED,50,0.1647560799734503,0.0062804450000157885,0.023339294905327268
100,42,0.42,100,1.9991960744593562,0.0014022999919105993,10,4,0,DRL-Routing,1,0.15591801234162994,0.004513798999937535,0.0
100,43,0.43,100,1.9980198009303676,0.0031614094804723403,10,12,0,DRL-Routing,2,0.15660516700701188,0.00426243600009002,0.0007014319447815844
100,43,0.43,100,1.9971363331924092,0.004235986846383192,10,4,0,DRL-Routing,3,0.15628233955645043,0.004800804000069547,0.0015822713447763148
100,56,0.56,100,1.9955243253481671,0.006427897779887308,10,12,0,DRL-Routing,4,0.1559521883243803,0.004305293999891546,0.00212103038322373
100,60,0.6,100,1.9939520342536607,0.008298007304096423,10,7,0,DRL-Routing,5,0.1586444818323836,0.004346896000015477,0.003221157312789706
100,64,0.64,100,1.9921442790028365,0.010693226306890088,10,5,0,DRL-Routing,6,0.15765286862890998,0.004100558000004639,0.004161588219387235
100,50,0.5,100,1.9910562449919404,0.012299673473924388,10,4,0,DRL-Routing,7,0.15662057555179942,0.00418861699995432,0.005367696711960625
100,51,0.51,100,1.9896331106235257,0.014547907202863345,10,7,0,DRL-Routing,8,0.15928562035281654,0.004505013999960283,0.0061774615822664785
100,54,0.54,100,1.9880577323568838,0.017171122379309022,10,6,0,DRL-Routing,9,0.15759723441833076,0.004865925999979481,0.007311854185860682
100,43,0.43,100,1.9869136934249432,0.018684932931489123,10,9,0,DRL-Routing,10,0.15851772655006055,0.005234758000028705,0.008637134667954552
100,59,0.59,100,1.9852040098323147,0.02104123679468938,10,6,0,DRL-Routing,11,0.1600354864999719,0.004150385000002643,0.009403998258461327
100,41,0.41,100,1.9843101737974,0.021753287361060046,10,7,0,DRL-Routing,12,0.158723838460948,0.004372578000015892,0.010599029958270447
100,57,0.57,100,1.9825520632442923,0.024088601765886685,10,10,0,DRL-Routing,13,0.15898535030297925,0.004867231999924115,0.010962644664319393
100,43,0.43,100,1.981454326389876,0.025258238345785722,10,11,0,DRL-Routing,14,0.16009556001995073,0.004017103000023781,0.012150299701167475
100,46,0.46,100,1.9805067228504232,0.026793059608846436,10,3,0,DRL-Routing,15,0.16034410896211326,0.004244170999982089,0.012747323006082351
100,46,0.46,100,1.9792875000708634,0.02816497606349152,10,10,0,DRL-Routing,16,0.16078535441548036,0.0036220259999026894,0.013528386080521877
100,45,0.45,100,1.9779151600067135,0.02979158993576737,10,11,0,DRL-Routing,17,0.15925299173588722,0.004149188999917897,0.01422985596282674
100,50,0.5,100,1.9765520447440144,0.03182578023618966,10,8,0,DRL-Routing,18,0.16208993577651093,0.00690534300008494,0.015062117176725627
100,44,0.44,100,1.9754109737448824,0.03302369066595809,10,7,0,DRL-Routing,19,0.1615815086761903,0.005306338999957916,0.016101665670082636
100,29,0.29,100,1.9749292626358952,0.033571005675489804,10,8,0,DRL-Routing,20,0.16190662721794966,0.003725766000002295,0.016717377331319935
100,45,0.45,100,1.973612293667685,0.03533710597410277,10,10,0,DRL-Routing,21,0.1634882637757,0.004428561999930025,0.01699858636794218
100,46,0.46,100,1.9722424911944731,0.03670309226660939,10,11,0,DRL-Routing,22,0.16300577176212072,0.004970484999944347,0.017904786087759965
100,36,0.36,100,1.9715074472651426,0.03734132748415913,10,8,0,DRL-Routing,23,0.16185160239689445,0.004191805000004933,0.01860982733779394
100,31,0.31,100,1.9710909358825726,0.03782102803593463,10,4,0,DRL-Routing,24,0.16194292421155218,0.004722743999991508,0.018940495253049992
